
Tenant: Italian Trattoria,,Product Summary Report
,,Report as of 07/22/2026

"Product name","Item count","Category","Available in Recipe","Available in Inventory","Product unit","Last purchased","Cost","Last purchased vendor","Last purchased location"
"Gin, Malfy",4,Liquor,false,false,liter,02/18/2026 00:00:00,34.4,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liqueur, Martini & Rossi Fiero",3,Liquor,false,false,liter,02/18/2026 00:00:00,78,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Rum, Cachaca Leblon",3,Liquor,false,false,liter,02/18/2026 00:00:00,27.95,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Mezcal, Montelobos Tequila",3,Liquor,false,true,each,02/18/2026 00:00:00,229.5,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Gin, Malfy Grapefruit",4,Liquor,false,false,liter,02/18/2026 00:00:00,34.4,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Dairy, Tofu Firm",3,Meat/ Protein,false,true,lb,02/18/2026 00:00:00,19.46,Seventh Ave House Vendor,IT - 530 Seventh Ave
"Whiskey, Oban",4,Liquor,false,false,liter,02/18/2026 00:00:00,98.67,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Produce, Orange Blossom",3,NA Beverage - Other,true,true,lb,02/18/2026 00:00:00,5,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liquor, Tequila Don Julio Anejo",4,Liquor,false,true,each,02/18/2026 00:00:00,319.5,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Tequila, Mezcal Vida Del Maguey",4,Liquor,false,false,liter,02/18/2026 00:00:00,295.28,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Gin, Monkey 47",4,Liquor,false,false,liter,02/18/2026 00:00:00,88.65,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liqueur, Italicus",4,Liquor,false,true,each,02/18/2026 00:00:00,38.24,Lincoln House Vendor,IT - 1014 Lincoln Rd
