
Tenant: Italian Trattoria,,Item Library
,,Report as of 07/22/2026

"Location Name","Vendor Name","Item Code","Item Description","UOM","Item UOM","Pack/Size/Unit","Weighable","Category","GL Code","Contracted Price ($)","Last Purchased Date","Last Purchased Price ($)","Close Watch","Product(s)"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,FL-311698,16 Oz Plastic Cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,59.9,false,"Disposable, Cold Cup 16oz PET"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,BA-1624-NS,16X24 NATURAL SILICONE PAPER,cs,,1 1 ea,false,Disposable,Disposable,0,07/20/2026,159.95,false,
IT - 1656 Collins Ave,SimplyPak,245048_XC14713061,"16x24"" Parchment Paper Sheet | Pan Liner Sheet-2000 pieces",cs,pack,10 200 count,false,Disposable,Disposable,0,05/05/2026,69.25,false,"Disposable, Parchment Paper"
IT - 1014 Lincoln Rd,SimplyPak,245048_XC14713061,"16x24"" Parchment Paper Sheet | Pan Liner Sheet-2000 pieces",cs,pack,10 200 count,false,Disposable,Disposable,0,05/12/2026,69.25,false,"Disposable, Parchment Paper"
IT - 1014 Lincoln Rd,"Superior Superfoods, LLC",100572,18|22 Ct 15 Lb Bacon Layout,cs,lb,15 1 lb,false,Meat/ Protein,Food Purchases,0,01/26/2026,62.66,false,"Protein, Bacon Layout 18-22"
IT - 1656 Collins Ave,"Superior Superfoods, LLC",100572,18|22 Ct 15 Lb Bacon Layout,cs,lb,15 1 lb,false,Meat/ Protein,Food Purchases,0,02/21/2026,62.66,false,"Protein, Bacon Layout 18-22"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,WP-624,"18""X500"" HEAVY DUTY FOIL (ROLL)",ct,,1 1 ct,false,Disposable,Disposable,31.9,01/01/2026,31.95,false,"Disposable, Foil Roll"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,WP-624,"18""X500"" HEAVY DUTY FOIL (ROLL)",ct,,1 1 ct,false,Disposable,Disposable,31.9,01/01/2026,31.95,false,"Disposable, Foil Roll"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,WP-624,"18""X500"" HEAVY DUTY FOIL (ROLL)",ct,,1 1 ct,false,Disposable,Disposable,31.9,07/08/2026,31.95,false,"Disposable, Foil Roll"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,WP-624,"18""X500"" HEAVY DUTY FOIL (ROLL)",ct,,1 1 ct,false,Disposable,Disposable,31.9,07/08/2026,31.95,false,"Disposable, Foil Roll"
IT - 530 Seventh Ave,ACE ENDICO,150920,1 CS Z BLUEBERRIES ALPINE 12/1 PINT,cs,pint,12 6 oz,false,Food - other,Food Purchases,46,04/29/2026,66,false,"Produce, Blueberry"
IT - 390 Fifth Ave,ACE ENDICO,150920,1 CS Z BLUEBERRIES ALPINE 12/1 PINT,cs,pint,12 6 oz,false,Food - other,Food Purchases,46,07/17/2026,66,false,"Produce, Blueberry"
